Id,Test.Name,EvaluationOrder,Sex,Species.Name,MinAge,MaxAge,AgeUnit.Name,LowLimit,HighLimit,Severity,Method.Instrument.Name,Eligible.Description,Comment.Mnemonic,$ImportLog
2,TC,5,?,?,?,?,?,1.800,15.510,5,?,Eligible_TC_NS,NS_Comment_TC,Test not available
3,TC,5,?,?,?,?,?,1.800,15.510,5,?,Eligible_TC_NS,NS_Comment_TC,Test not available
4,TG,5,?,?,?,?,?,0.240,5.070,5,?,Eligible_TG_NS,NS_Comment_TG,Test not available
5,TG,5,?,?,?,?,?,0.240,5.070,5,?,Eligible_TG_NS,NS_Comment_TG,Test not available
6,HDL-C,5,?,?,?,?,?,0.728,4.620,5,?,Eligible_HDL-C_NS,NS_Comment_HDL-C,Test not available
7,HDL-C,5,?,?,?,?,?,0.728,4.620,5,?,Eligible_HDL-C_NS,NS_Comment_HDL-C,Test not available
8,LDL-C,5,?,?,?,?,?,0.200,10.080,5,?,Eligible_LDL-C_NS,NS_Comment_LDL-C,Test not available
9,LDL-C,5,?,?,?,?,?,0.200,10.080,5,?,Eligible_LDL-C_NS,NS_Comment_LDL-C,Test not available
10,APOA,5,?,?,?,?,?,0.840,5.280,5,?,Eligible_APOA_NS,NS_Comment_APOA,Test not available
11,APOA,5,?,?,?,?,?,0.840,5.280,5,?,Eligible_APOA_NS,NS_Comment_APOA,Test not available
12,APOB,5,?,?,?,?,?,0.441,3.420,5,?,Eligible_APOB_NS,NS_Comment_APOB,Test not available
13,APOB,5,?,?,?,?,?,0.441,3.420,5,?,Eligible_APOB_NS,NS_Comment_APOB,Test not available
18,LAS_GLB,5,?,?,?,?,?,28.000,165.000,5,?,Eligible_LAS_GLB_NS,NS_Comment_LAS_GLB,Test not available
19,LAS_GLB,5,?,?,?,?,?,28.000,165.000,5,?,Eligible_LAS_GLB_NS,NS_Comment_LAS_GLB,Test not available
20,LAS_A/G,5,?,?,?,?,?,28.000,165.000,5,?,Eligible_LAS_A/G_NS,NS_Comment_LAS_A/G,Test not available
21,LAS_A/G,5,?,?,?,?,?,28.000,165.000,5,?,Eligible_LAS_A/G_NS,NS_Comment_LAS_A/G,Test not available
24,TBIL,5,?,?,?,?,?,1.197,78.000,5,?,Eligible_TBIL_NS,NS_Comment_TBIL,Test not available
25,TBIL,5,?,?,?,?,?,1.197,78.000,5,?,Eligible_TBIL_NS,NS_Comment_TBIL,Test not available
26,DBIL,5,?,?,?,?,?,1.197,20.520,5,?,Eligible_DBIL_NS,NS_Comment_DBIL,Test not available
27,DBIL,5,?,?,?,?,?,1.197,20.520,5,?,Eligible_DBIL_NS,NS_Comment_DBIL,Test not available
28,LAS_IBIL,5,?,?,?,?,?,1.197,20.520,5,?,Eligible_LAS_IBIL_NS,NS_Comment_LAS_IBIL,Test not available
29,LAS_IBIL,5,?,?,?,?,?,1.197,20.520,5,?,Eligible_LAS_IBIL_NS,NS_Comment_LAS_IBIL,Test not available
34,LAS_L/S,5,?,?,?,?,?,9.100,120.000,5,?,Eligible_LAS_L/S_NS,NS_Comment_LAS_L/S,Test not available
35,LAS_L/S,5,?,?,?,?,?,9.100,120.000,5,?,Eligible_LAS_L/S_NS,NS_Comment_LAS_L/S,Test not available
38,ALP,5,?,?,?,?,?,31.500,375.000,5,?,Eligible_ALP_NS,NS_Comment_ALP,Test not available
39,ALP,5,?,?,?,?,?,24.500,300.000,5,?,Eligible_ALP_NS,NS_Comment_ALP,Test not available
40,ALP,5,?,?,?,?,?,35.000,405.000,5,?,Eligible_ALP_NS,NS_Comment_ALP,Test not available
41,LAS_AFU,5,?,?,?,?,?,35.000,405.000,5,?,Eligible_LAS_AFU_NS,NS_Comment_LAS_AFU,Test not available
42,LAS_AFU,5,?,?,?,?,?,35.000,405.000,5,?,Eligible_LAS_AFU_NS,NS_Comment_LAS_AFU,Test not available
45,GLU,5,?,?,?,?,?,2.730,16.800,5,?,Eligible_GLU_NS,NS_Comment_GLU,Test not available
46,GLU,5,?,?,?,?,?,2.730,16.800,5,?,Eligible_GLU_NS,NS_Comment_GLU,Test not available
47,BUN,5,?,?,?,?,?,2.170,24.000,5,?,Eligible_BUN_NS,NS_Comment_BUN,Test not available
48,BUN,5,?,?,?,?,?,2.520,28.500,5,?,Eligible_BUN_NS,NS_Comment_BUN,Test not available
49,BUN,5,?,?,?,?,?,1.820,22.500,5,?,Eligible_BUN_NS,NS_Comment_BUN,Test not available
50,BUN,5,?,?,?,?,?,2.170,26.400,5,?,Eligible_BUN_NS,NS_Comment_BUN,Test not available
51,CREA,5,?,?,?,?,?,39.900,291.000,5,?,Eligible_CREA_NS,NS_Comment_CREA,Test not available
52,CREA,5,?,?,?,?,?,39.900,333.000,5,?,Eligible_CREA_NS,NS_Comment_CREA,Test not available
53,CREA,5,?,?,?,?,?,28.700,219.000,5,?,Eligible_CREA_NS,NS_Comment_CREA,Test not available
54,CREA,5,?,?,?,?,?,28.700,243.000,5,?,Eligible_CREA_NS,NS_Comment_CREA,Test not available
57,CA,5,?,?,?,?,?,1.477,7.560,5,?,Eligible_CA_NS,NS_Comment_CA,Test not available
58,CA,5,?,?,?,?,?,1.477,7.560,5,?,Eligible_CA_NS,NS_Comment_CA,Test not available
61,P,5,?,?,?,?,?,0.595,4.530,5,?,Eligible_P_NS,NS_Comment_P,Test not available
62,P,5,?,?,?,?,?,0.595,4.530,5,?,Eligible_P_NS,NS_Comment_P,Test not available
69,LAS_CO2,5,?,?,?,?,?,69.300,330.000,5,?,Eligible_LAS_CO2_NS,NS_Comment_LAS_CO2,Test not available
70,LAS_CO2,5,?,?,?,?,?,69.300,330.000,5,?,Eligible_LAS_CO2_NS,NS_Comment_LAS_CO2,Test not available
71,Fe,5,?,?,?,?,?,7.420,110.100,5,?,Eligible_Fe_NS,NS_Comment_Fe,Test not available
72,Fe,5,?,?,?,?,?,5.460,96.600,5,?,Eligible_Fe_NS,NS_Comment_Fe,Test not available
73,AMY_S,5,?,?,?,?,?,24.500,405.000,5,?,Eligible_AMY_S_NS,NS_Comment_AMY_S,Test not available
74,AMY_S,5,?,?,?,?,?,24.500,405.000,5,?,Eligible_AMY_S_NS,NS_Comment_AMY_S,Test not available
75,LAS_0hGLU,5,?,?,?,?,?,24.500,405.000,5,?,Eligible_LAS_0hGLU_NS,NS_Comment_LAS_0hGLU,Test not available
76,LAS_0hGLU,5,?,?,?,?,?,24.500,405.000,5,?,Eligible_LAS_0hGLU_NS,NS_Comment_LAS_0hGLU,Test not available
77,LAS_%HbAlc,5,?,?,?,?,?,24.500,405.000,5,?,Eligible_LAS_%HbAlc_NS,NS_Comment_LAS_%HbAlc,Test not available
