Id,Test.Name,EvaluationOrder,Species.Name,LimitIsAbsolute,Limit,Severity,DayLimit,Eligible.Description,Comment.Mnemonic,$ImportLog
2,TC,5,?,no,50,5,7,?,DS_Comment_TC,Test not available
3,TC,5,?,no,50,5,7,?,DS_Comment_TC,Test not available
10,APOA,5,?,no,50,5,7,?,DS_Comment_APOA,Test not available
11,APOA,5,?,no,50,5,7,?,DS_Comment_APOA,Test not available
18,LAS_GLB,5,?,no,?,5,7,?,DS_Comment_LAS_GLB,Test not available
19,LAS_GLB,5,?,no,?,5,7,?,DS_Comment_LAS_GLB,Test not available
20,LAS_A/G,5,?,no,?,5,7,?,DS_Comment_LAS_A/G,Test not available
21,LAS_A/G,5,?,no,?,5,7,?,DS_Comment_LAS_A/G,Test not available
28,LAS_IBIL,5,?,no,?,5,7,?,DS_Comment_LAS_IBIL,Test not available
29,LAS_IBIL,5,?,no,?,5,7,?,DS_Comment_LAS_IBIL,Test not available
34,LAS_L/S,5,?,no,?,5,7,?,DS_Comment_LAS_L/S,Test not available
35,LAS_L/S,5,?,no,?,5,7,?,DS_Comment_LAS_L/S,Test not available
41,LAS_AFU,5,?,no,?,5,7,?,DS_Comment_LAS_AFU,Test not available
42,LAS_AFU,5,?,no,?,5,7,?,DS_Comment_LAS_AFU,Test not available
69,LAS_CO2,5,?,no,?,5,7,?,DS_Comment_LAS_CO2,Test not available
70,LAS_CO2,5,?,no,?,5,7,?,DS_Comment_LAS_CO2,Test not available
71,Fe,5,?,no,50,5,7,?,DS_Comment_Fe,Test not available
72,Fe,5,?,no,50,5,7,?,DS_Comment_Fe,Test not available
73,AMY_S,5,?,no,50,5,7,?,DS_Comment_AMY_S,Test not available
74,AMY_S,5,?,no,50,5,7,?,DS_Comment_AMY_S,Test not available
75,LAS_0hGLU,5,?,no,?,5,7,?,DS_Comment_LAS_0hGLU,Test not available
76,LAS_0hGLU,5,?,no,?,5,7,?,DS_Comment_LAS_0hGLU,Test not available
77,LAS_%HbAlc,5,?,no,?,5,?,?,DS_Comment_LAS_%HbAlc,Test not available
