Instrument.Name,Code,Expansion,PatientSeverity,ControlSeverity,LISUpload,Report
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Application: CENTRALINK
%% Version: 15.0.3
%% Table: InstrumentFlag
%% Exported on: 11/07/17 at 14:26:30
%% Exported by: Advia
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
Advia2400_1,*,*,1,1,yes,yes
Advia2400_1,/,/,1,1,yes,yes
Advia2400_1,B,B,1,1,yes,yes
Advia2400_1,C,C,1,1,yes,yes
Advia2400_1,D,D,1,1,yes,yes
Advia2400_1,d,d,1,1,yes,yes
Advia2400_1,E,E,1,1,yes,yes
Advia2400_1,H,H,1,1,yes,yes
Advia2400_1,h,h,1,1,yes,yes
Advia2400_1,I,I,1,1,yes,yes
Advia2400_1,L,L,1,1,yes,yes
Advia2400_1,l,l,1,1,yes,yes
Advia2400_1,N,N,1,1,yes,yes
Advia2400_1,n,n,1,1,yes,yes
Advia2400_1,P,P,1,1,yes,yes
Advia2400_1,r,r,1,1,yes,yes
Advia2400_1,R,R,1,1,yes,yes
Advia2400_1,s,s,1,1,yes,yes
Advia2400_1,S,S,1,1,yes,yes
Advia2400_1,t,t,1,1,yes,yes
Advia2400_1,T,T,1,1,yes,yes
Advia2400_1,u,u,1,1,yes,yes
Advia2400_1,U,U,1,1,yes,yes
CentaurXP_1,< Conc Range,< Conc Range,1,1,yes,yes
CentaurXP_1,< Dilution Pt,< Dilution Pt,1,1,yes,yes
CentaurXP_1,< Index Range,< Index Range,1,1,yes,yes
CentaurXP_1,< Linearity,< Linearity,1,1,yes,yes
CentaurXP_1,<,Under Range,1,1,yes,yes
CentaurXP_1,> Conc Range,> Conc Range,1,1,yes,yes
CentaurXP_1,> Dilution Pt,> Dilution Pt,1,1,yes,yes
CentaurXP_1,> Index Range,> Index Range,1,1,yes,yes
CentaurXP_1,> Linearity,> Linearity,1,1,yes,yes
CentaurXP_1,>,Over Range,1,1,yes,yes
CentaurXP_1,Above Check,Above Check,1,1,yes,yes
CentaurXP_1,Autorepeat,Autorepeat,1,1,yes,yes
CentaurXP_1,Below Check,Below Check,1,1,yes,yes
CentaurXP_1,Cal Accepted,Cal Accepted,1,1,yes,yes
CentaurXP_1,Cal Assigned,Cal Assigned,1,1,yes,yes
CentaurXP_1,Cal Invalid,Cal Invalid,1,1,yes,yes
CentaurXP_1,Clot detected,Clot detected,1,1,yes,yes
CentaurXP_1,Conf N/A,Conf N/A,1,1,yes,yes
CentaurXP_1,Ctrl Br Restricted,Restricted Control Bracketed,1,1,yes,yes
CentaurXP_1,Ctrl Bracketed,Control Bracketed,1,1,yes,yes
CentaurXP_1,Diluted,Diluted,1,1,yes,yes
CentaurXP_1,Edited,Edited,1,1,yes,yes
CentaurXP_1,Entered,Entered,1,1,yes,yes
CentaurXP_1,Excluded,Excluded,1,1,yes,yes
CentaurXP_1,High CV,High CV,1,1,yes,yes
CentaurXP_1,H,High,1,1,yes,yes
CentaurXP_1,Insufficient,Insufficient,1,1,yes,yes
CentaurXP_1,Integrity Error,Integrity Error,1,1,yes,yes
