Value,Set.Function.Table.Name,Set.Function.Mnemonic,Set.ShortDescription,FormalParameter.Name
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Application: CENTRALINK
%% Version: 16.0.2
%% Table: bt_ActualFunctionParameter
%% Exported on: 03/01/18 at 11:00:36
%% Exported by: SiemensService
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=71\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 01,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=70\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 02,QueryParameterList
\Identifier=?\RelatedSampleRequests=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\PatientLastName=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PhysicianLastName=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=69\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,Find Lane 03,QueryParameterList
