Value,Set.Function.Table.Name,Set.Function.Mnemonic,Set.ShortDescription,FormalParameter.Name
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Application: CENTRALINK
%% Version: 16.0.2
%% Table: bt_ActualFunctionParameter
%% Exported on: 02/26/18 at 15:46:15
%% Exported by: SiemensService
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
\Identifier=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=yes\MinimalStatus=3\MaximalStatus=3\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=?\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,FindSchedule,QueryParameterList
\Identifier=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=yes\MinimalStatus=4\MaximalStatus=5\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=?\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,FindReview,QueryParameterList
\Identifier=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=yes\MinimalStatus=2\MaximalStatus=2\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=?\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,FindRerun,QueryParameterList
\Identifier=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=yes\MinimalStatus=4\MaximalStatus=6\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=28\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,FindError,QueryParameterList
\Identifier=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=?\Physician=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=31\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,FindManualSample,QueryParameterList
\Identifier=?\LISChannel=?\LASFlagRejectResults=?\AtLeastOneRequestInStatus=no\MinimalStatus=?\MaximalStatus=?\MinimalPriority=?\TestGroup=?\Test=?\MinimalCollectionTime=?\MaximalCollectionTime=?\Species=?\Patient=?\Type=?\InstrumentGroup=?\Instrument=?\SearchTargetted=no\MinimalStatusMinutes=?\MaximalStatusMinutes=720\Physician=?\PatientLocation=?\SlideRequest=1\MinimalAspirationTime=?\MaximalAspirationTime=?\LASStatusNeedsUpload=?\CheckLASUpdateRequired=no\LASChannel=?\NotReported=no\Filter=?\MaxSampleCount=?\SortCriterion=2,gp_Site,SamplesByIdentifierQueryable,FindTodaySample,QueryParameterList
